Date,Open,High,Low,Close,Adj Close,Volume
2015-10-01,2.039000,2.182000,1.906000,2.151000,2.151000,0
2015-11-01,2.175000,2.377000,2.167000,2.218000,2.218000,0
2015-12-01,2.229000,2.356000,2.132000,2.269000,2.269000,0
2016-01-01,2.230000,2.261000,1.911000,1.931000,1.931000,0
2016-02-01,1.930000,1.966000,1.567000,1.740000,1.740000,0
2016-03-01,1.749000,2.002000,1.728000,1.786000,1.786000,0
2016-04-01,1.778000,1.941000,1.685000,1.819000,1.819000,0
2016-05-01,1.816000,1.890000,1.705000,1.834000,1.834000,0
2016-06-01,1.830000,1.849000,1.450000,1.488000,1.488000,0
2016-07-01,1.429000,1.628000,1.336000,1.458000,1.458000,0
2016-08-01,1.494000,1.635000,1.475000,1.568000,1.568000,0
2016-09-01,1.594000,1.752000,1.519000,1.608000,1.608000,0
2016-10-01,1.600000,1.879000,1.596000,1.834000,1.834000,0
2016-11-01,1.847000,2.417000,1.771000,2.368000,2.368000,0
2016-12-01,2.414000,2.621000,2.346000,2.446000,2.446000,0
2017-01-01,2.511000,2.555000,2.309000,2.451000,2.451000,0
2017-02-01,2.487000,2.524000,2.314000,2.358000,2.358000,0
2017-03-01,2.435000,2.615000,2.348000,2.396000,2.396000,0
2017-04-01,2.380000,2.391000,2.177000,2.282000,2.282000,0
2017-05-01,2.291000,2.423000,2.191000,2.196000,2.196000,0
2017-06-01,2.229000,2.305000,2.103000,2.302000,2.302000,0
2017-07-01,2.309000,2.396000,2.225000,2.292000,2.292000,0
2017-08-01,2.305000,2.321000,2.091000,2.121000,2.121000,0
2017-09-01,2.127000,2.344000,2.034000,2.326000,2.326000,0
2017-10-01,2.341000,2.475000,2.273000,2.376000,2.376000,0
2017-11-01,2.398000,2.437000,2.304000,2.417000,2.417000,0
2017-12-01,2.383000,2.499000,2.314000,2.405000,2.405000,0
2018-01-01,2.433000,2.754000,2.425000,2.720000,2.720000,0
2018-02-01,2.743000,2.943000,2.722000,2.868000,2.868000,0
2018-03-01,2.831000,2.936000,2.739000,2.741000,2.741000,0
2018-04-01,2.763000,3.035000,2.717000,2.936000,2.936000,0
2018-05-01,2.966000,3.115000,2.759000,2.822000,2.822000,0
2018-06-01,2.900000,3.009000,2.824000,2.849000,2.849000,0
2018-07-01,2.829000,2.990000,2.811000,2.964000,2.964000,0
2018-08-01,2.992000,3.016000,2.808000,2.853000,2.853000,0
2018-09-01,2.869000,3.110000,2.868000,3.056000,3.056000,0
2018-10-01,3.086000,3.248000,3.046000,3.159000,3.159000,0
2018-11-01,3.164000,3.239000,3.008000,3.013000,3.013000,0
2018-12-01,3.041000,3.041000,2.679000,2.686000,2.686000,0
2019-01-01,2.652000,2.799000,2.554000,2.635000,2.635000,0
2019-02-01,2.631000,2.734000,2.625000,2.711000,2.711000,0
2019-03-01,2.737000,2.759000,2.356000,2.414000,2.414000,0
2019-04-01,2.442000,2.614000,2.424000,2.509000,2.509000,0
2019-05-01,2.504000,2.576000,2.137000,2.142000,2.142000,0
2019-06-01,2.112000,2.174000,1.975000,2.000000,2.000000,0
2019-07-01,2.026000,2.148000,1.943000,2.021000,2.021000,0
2019-08-01,2.028000,2.028000,1.446000,1.506000,1.506000,0
2019-09-01,1.483000,1.903000,1.429000,1.675000,1.675000,0
2019-10-01,1.727000,1.860000,1.510000,1.691000,1.691000,0
2019-11-01,1.677000,1.971000,1.670000,1.776000,1.776000,0
2019-12-01,1.833000,1.949000,1.693000,1.919000,1.919000,0
2020-01-01,1.903000,1.903000,1.512000,1.520000,1.520000,0
2020-02-01,1.555000,1.668000,1.127000,1.127000,1.127000,0
2020-03-01,1.067000,1.266000,0.398000,0.698000,0.698000,0
2020-04-01,0.610000,0.784000,0.543000,0.622000,0.622000,0
2020-05-01,0.613000,0.745000,0.590000,0.648000,0.648000,0
2020-06-01,0.667000,0.957000,0.619000,0.653000,0.653000,0
2020-07-01,0.681000,0.724000,0.528000,0.536000,0.536000,0
2020-08-01,0.559000,0.746000,0.504000,0.693000,0.693000,0
2020-09-01,0.720000,0.729000,0.606000,0.677000,0.677000,0
2020-10-01,0.701000,0.872000,0.653000,0.860000,0.860000,0
2020-11-01,0.854000,0.975000,0.748000,0.844000,0.844000,0
2020-12-01,0.857000,0.986000,0.857000,0.917000,0.917000,0
2021-01-01,0.935000,1.187000,0.907000,1.093000,1.093000,0
2021-02-01,1.079000,1.614000,1.060000,1.460000,1.460000,0
2021-03-01,1.451000,1.765000,1.403000,1.746000,1.746000,0
2021-04-01,1.705000,1.745000,1.529000,1.631000,1.631000,0
2021-05-01,1.651000,1.700000,1.471000,1.581000,1.581000,0
2021-06-01,1.625000,1.639000,1.438000,1.443000,1.443000,0
2021-07-01,1.471000,1.485000,1.128000,1.239000,1.239000,0
2021-08-01,1.231000,1.379000,1.129000,1.304000,1.304000,0
2021-09-01,1.311000,1.567000,1.260000,1.529000,1.529000,0
2021-10-01,1.496000,1.691000,1.463000,1.557000,1.557000,0
2021-11-01,1.587000,1.693000,1.412000,1.443000,1.443000,0
2021-12-01,1.482000,1.558000,1.343000,1.512000,1.512000,0
2022-01-01,1.534000,1.874000,1.533000,1.782000,1.782000,0
2022-02-01,1.750000,2.065000,1.743000,1.839000,1.839000,0
2022-03-01,1.734000,2.503000,1.682000,2.327000,2.327000,0
2022-04-01,2.404000,2.792000,2.357000,2.725000,2.725000,0
